timestamp,open,high,low,close,volume
2024-03-28 12:30:00,523.47,523.47,523.11,523.26,19004
2024-03-28 12:45:00,523.165,523.37,523.1,523.36,29908
2024-03-28 13:00:00,523.33,523.47,523.1,523.19,15712
2024-03-28 13:15:00,523.2,523.265,523.02,523.105,20257
2024-03-28 13:30:00,523.12,523.34,522.94,523.305,18509
2024-03-28 13:45:00,523.275,523.45,523.23,523.35,16257
2024-03-28 14:00:00,523.34,523.645,523.11,523.56,42099
2024-03-28 14:15:00,523.555,523.605,523.38,523.52,15359
2024-03-28 14:30:00,523.53,523.53,523.04,523.12,26247
2024-03-28 14:45:00,523.13,524.27,523.12,524.13,52140
2024-03-28 15:00:00,524.2,524.345,523.605,524.115,37186
2024-03-28 15:15:00,524.12,524.56,524.07,524.47,63010
2024-03-28 15:30:00,524.48,524.6,523.865,524.1,139608
2024-03-28 15:45:00,524.03,524.185,522.95,523.135,124177
2024-03-28 16:00:00,522.94,523.07,522.94,523.07,5110
2024-04-01 09:30:00,523.71,524.345,523.45,524.18,51150
2024-04-01 09:45:00,524.27,524.37,523.855,524.08,25581
2024-04-01 10:00:00,523.74,524.18,523.13,523.89,54021
2024-04-01 10:15:00,523.91,523.91,522.83,522.965,42722
2024-04-01 10:30:00,522.95,523.01,522.15,522.58,43427
2024-04-01 10:45:00,522.505,522.555,522.14,522.33,32907
2024-04-01 11:00:00,522.32,522.4,521.89,521.95,23618
2024-04-01 11:15:00,521.9,522.095,521.385,522.08,64121
2024-04-01 11:30:00,522.01,522.065,521.625,521.785,31641
2024-04-01 11:45:00,521.84,521.91,521.09,521.1,15239
2024-04-01 12:00:00,521.06,521.81,521.005,521.81,12877
2024-04-01 12:15:00,521.81,522.03,521.69,521.99,17806
2024-04-01 12:30:00,522.04,522.21,521.97,522.2,8111
2024-04-01 12:45:00,522.21,522.22,521.9,521.9,12191
2024-04-01 13:00:00,521.825,521.9,521.575,521.7,9445
2024-04-01 13:15:00,521.615,521.615,521.08,521.545,13284
2024-04-01 13:30:00,521.64,521.85,521.4,521.825,8521
2024-04-01 13:45:00,521.82,521.82,521.39,521.635,9945
2024-04-01 14:00:00,521.77,521.79,521.565,521.61,10501
2024-04-01 14:15:00,521.57,522.01,521.55,521.9,14036
2024-04-01 14:30:00,521.99,522.13,521.89,522.03,16409
2024-04-01 14:45:00,522.06,522.14,521.83,521.83,12389
