exit_time,sym,direction,entry_price,exit_price,dollar_pos,pnl
2024-12-11 09:30:00-05:00,ES,Long,608.0650024414062,606.5349731445312,572978.9294727531,-1441.744788904972
2024-12-11 12:30:00-05:00,ES,Long,606.5349731445312,608.3200073242188,380503.6699428388,1119.8234008225095
2024-12-16 09:30:00-05:00,ES,Long,608.3200073242188,606.4600219726562,572801.8727093077,-1751.3859149121292
2024-12-16 12:30:00-05:00,ES,Long,606.4600219726562,607.719970703125,380272.67595331045,790.0340631536803
2024-12-16 15:30:00-05:00,ES,Long,607.719970703125,606.77001953125,572273.1291908406,-894.5428090481162
2024-12-16 15:30:00-05:00,YM,Long,449.92999267578125,438.3500061035156,362284.9324555559,-9324.23870704834
2024-12-17 09:30:00-05:00,ES,Long,606.77001953125,603.219970703125,519801.02785987646,-3041.216557201846
2024-12-17 09:30:00-05:00,YM,Long,438.3500061035156,435.7900085449219,515138.9085063523,-3008.4506210808386
2024-12-18 09:30:00-05:00,ES,Long,603.219970703125,605.4000244140625,347398.7855909386,1255.5088499804258
2024-12-18 09:30:00-05:00,NQ,Long,534.219970703125,535.9199829101562,332439.02927362546,1057.8983168954685
2024-12-18 09:30:00-05:00,YM,Long,435.7900085449219,437.17999267578125,346381.36458801647,1104.808716497061
2024-12-23 12:30:00-05:00,ES,Long,589.2999877929688,593.2996826171875,240293.42847662314,1630.9187206523056
2024-12-23 13:30:00-05:00,ES,Long,593.2996826171875,593.8599853515625,275484.68841413455,260.16333519004803
2024-12-23 15:30:00-05:00,ES,Long,593.8599853515625,594.780029296875,301839.5792221579,467.62820221776434
2024-12-24 11:30:00-05:00,ES,Long,594.780029296875,600.1600952148438,326998.29689051176,2957.8538378536514
2024-12-27 09:30:00-05:00,ES,Long,600.1600952148438,593.2100219726562,357699.2313943227,-4142.287827341757
2024-12-30 09:30:00-05:00,ES,Long,593.2100219726562,584.77001953125,312754.27050776716,-4449.767719479727
2024-12-30 12:30:00-05:00,ES,Long,584.77001953125,590.5900268554688,219381.18494184298,2183.42264567666
2024-12-30 14:30:00-05:00,ES,Long,590.5900268554688,589.5900268554688,244269.9558182087,-413.60325218967387
2024-12-31 13:30:00-05:00,ES,Long,589.5900268554688,584.9400024414062,274131.98900714493,-2162.045461245938
2025-01-02 09:30:00-05:00,ES,Long,584.9400024414062,587.8300170898438,300569.00522272394,1485.0220951455149
2025-01-02 11:30:00-05:00,ES,Long,587.8300170898438,584.489990234375,270216.29507973255,-1535.3582772443426
2025-01-02 15:30:00-05:00,ES,Long,584.489990234375,584.5700073242188,246233.27503006984,33.70950815205789
2025-01-03 09:30:00-05:00,ES,Long,584.5700073242188,588.219970703125,268520.17109691666,1676.5978047481349
2025-01-08 12:30:00-05:00,NQ,Short,513.489990234375,515.7899780273438,-203784.3504256185,-912.7763486938795
2025-01-08 15:30:00-05:00,NQ,Short,515.7899780273438,515.2999877929688,-182302.43787909934,173.18369504802257
2025-01-10 09:30:00-05:00,NQ,Short,515.2999877929688,507.6600036621094,-207173.87727076365,3071.6188087960195
2025-07-23 14:30:00-04:00,NQ,Long,560.6900024414062,563.094970703125,359789.7259197779,1543.2464783781807
2025-07-24 14:30:00-04:00,NQ,Long,563.094970703125,566.0650024414062,482122.21107887186,2542.9427416951976
2025-07-25 09:30:00-04:00,NQ,Long,566.0650024414062,566.0549926757812,520938.1874227818,-9.211785110764062
2025-07-25 12:30:00-04:00,ES,Long,635.469970703125,637.0452270507812,542099.5771810837,1343.8019723755172
2025-07-25 12:30:00-04:00,NQ,Long,566.0549926757812,566.969970703125,489952.8843337393,791.965673652905
2025-07-28 09:30:00-04:00,ES,Long,637.0452270507812,637.7349853515625,518613.40562914993,561.5266958127992
2025-07-28 09:30:00-04:00,NQ,Long,566.969970703125,568.4650268554688,515172.5324273867,1358.4702963525565
2025-07-28 12:30:00-04:00,ES,Long,637.7349853515625,636.3200073242188,569109.704494036,-1262.715305736649
2025-07-28 12:30:00-04:00,NQ,Long,568.4650268554688,567.5300903320312,378954.8139994248,-623.2550457859679
2025-07-29 09:30:00-04:00,ES,Long,636.3200073242188,637.760009765625,517420.33612624975,1170.9305674485959
2025-07-29 09:30:00-04:00,NQ,Long,567.5300903320312,569.8900146484375,517108.7086033568,2150.2602883039062
2025-07-29 10:30:00-04:00,ES,Long,637.760009765625,635.2899780273438,539721.1652129643,-2090.329257847448
2025-07-29 10:30:00-04:00,NQ,Long,569.8900146484375,567.5449829101562,496696.56777802785,-2043.8491389489955
2025-07-29 13:30:00-04:00,ES,Long,635.2899780273438,635.3200073242188,378715.20797278924,17.90135497903725
2025-07-30 13:30:00-04:00,ES,Long,635.3200073242188,636.77001953125,568382.2820613569,1297.2379867594154
2025-07-30 13:30:00-04:00,NQ,Long,567.5449829101562,569.7947998046875,361691.5503829844,1433.7890126140996
2025-07-30 14:30:00-04:00,ES,Long,636.77001953125,632.0892944335938,518636.3213379381,-3812.3560647997224
2025-07-30 14:30:00-04:00,NQ,Long,569.7947998046875,565.9891967773438,516798.37330569694,-3451.645144274106
2025-07-31 09:30:00-04:00,NQ,Long,565.9891967773438,571.9301147460938,374463.80268032866,3930.567485487156
2025-07-31 10:30:00-04:00,ES,Long,632.0892944335938,636.1900024414062,377578.7214651226,2449.559105535998
2025-07-31 11:30:00-04:00,NQ,Long,571.9301147460938,571.1300048828125,339244.6336262588,-474.5911614570346
2025-07-31 13:30:00-04:00,ES,Long,636.1900024414062,634.2100219726562,329025.0716886034,-1024.0073141239022
2025-07-31 13:30:00-04:00,NQ,Long,571.1300048828125,566.5900268554688,306753.7397072135,-2438.42072062389
2025-08-01 09:30:00-04:00,ES,Long,634.2100219726562,623.2000122070312,296768.8661629544,-5151.965439499883
2025-08-01 09:30:00-04:00,NQ,Long,566.5900268554688,556.3800048828125,275918.92472179525,-4972.092960612309
2025-08-20 10:30:00-04:00,NQ,Long,560.281005859375,563.4400024414062,279515.36940486915,1575.973640621337
2025-08-20 15:30:00-04:00,NQ,Long,563.4400024414062,565.8599853515625,258054.18720080025,1108.3464436573092
2025-08-21 09:30:00-04:00,NQ,Long,565.8599853515625,566.4099731445312,280257.53171177366,272.3963971993239
2025-08-21 14:30:00-04:00,NQ,Long,566.4099731445312,563.7799072265625,258069.9105708891,-1198.320842547283
