exit_time,sym,entry_price,exit_price,dollar_pos,pnl,hold_bars
2024-02-19 10:00:00,MKR,2189.802,2199.473,52549.51776530573,232.0786931002266,697
2024-02-19 15:00:00,SHIB,9.8e-06,9.8e-06,40854.962503895455,0.0,623
2024-02-19 16:00:00,DOGE,0.0836209,0.08710815,90077.07793743364,3756.492575866981,703
2024-02-20 04:00:00,XRP,0.5604,0.5685,119031.78724841891,1720.480864939673,715
2024-02-20 05:00:00,LTC,71.0797,70.95115,81419.38791862693,-147.24966927181504,716
2024-02-20 05:00:00,BAT,0.26115,0.2647005,63255.98682787257,860.0052890383394,716
2024-02-20 06:00:00,AVAX,39.55085,39.44915,50301.685869219604,-129.3444123931427,593
2024-02-20 09:00:00,ETH,2910.015,2899.84,97698.320300264,-341.606627132561,720
2024-02-20 09:00:00,GRT,0.21988,0.2498225,20557.816205614305,2799.4925038048327,663
2024-02-20 09:00:00,CRV,0.5214485,0.555805,65834.69556240302,4337.628199313452,720
2024-02-20 09:00:00,MKR,2199.473,2118.1355,78590.17457840494,-2906.2999749353685,720
2024-02-20 10:00:00,LTC,70.95115,70.64075,105494.04126554144,-461.51965695868506,721
2024-02-20 12:00:00,BCH,273.96,269.995,93255.68421020433,-1349.681661167535,723
2024-02-20 13:00:00,ETH,2899.84,2997.535,120795.44824319692,4069.5732578759826,724
2024-02-20 14:00:00,AVAX,39.44915,38.3069,76899.12711547493,-2226.613956134709,601
2024-02-20 21:00:00,DOT,7.8674,7.7015,48441.95419129779,-1021.4963266563655,732
2024-02-20 22:00:00,LTC,70.64075,69.59505,83236.69553227682,-1232.1586692964272,733
2024-02-20 23:00:00,DOGE,0.08710815,0.0861903,69149.61140338218,-728.6226469807266,734
2024-02-21 02:00:00,XRP,0.5685,0.5565,94736.95563559962,-1999.724657215825,737
2024-02-21 02:00:00,AVAX,38.3069,38.021,14536.505675271754,-108.4918636736506,601
2024-02-21 05:00:00,BCH,269.995,262.672,70993.28542385016,-1925.5313215387441,740
2024-02-21 06:00:00,SHIB,9.8e-06,9.535e-06,16856.86492572893,-455.8233882977721,623
2024-02-21 12:00:00,AVAX,38.021,37.1625,38048.053635370445,-859.1108609969623,611
2024-02-21 12:00:00,BCH,262.672,260.97,94362.08048274551,-611.4251270848537,747
2024-02-21 23:00:00,GRT,0.2498225,0.281555,46969.79743727262,5966.112328466224,701
2024-02-21 23:00:00,MKR,2118.1355,2049.962,104775.74807911602,-3372.2721996168816,758
2024-02-22,SHIB,9.535e-06,9.515e-06,40449.17670352908,-84.84357987106176,641
2024-02-22 09:00:00,LTC,69.59505,69.25015,108160.44140163338,-536.0228383975997,768
2024-02-22 09:00:00,BCH,260.97,265.5375,71164.68278380446,1245.5251125226137,768
2024-02-22 09:00:00,SHIB,9.515e-06,9.67e-06,63130.01762927438,1028.3922997937568,650
2024-02-22 11:00:00,XRP,0.5565,0.5457,117628.41773739885,-2282.8156542028955,770
2024-02-22 12:00:00,CRV,0.555805,0.5548325,39942.06554235872,-69.88720637623909,771
2024-02-22 13:00:00,ETH,2997.535,2943.11,95755.4231087652,-1738.591510255767,772
2024-02-22 13:00:00,MKR,2049.962,2031.1,77408.04082839517,-712.2426982086478,772
2024-02-22 18:00:00,XRP,0.5457,0.5495,141280.79903104142,983.8135171668702,777
2024-02-22 19:00:00,BAT,0.2647005,0.255102,40147.71228717648,-1455.8257970365141,778
2024-02-22 19:00:00,SUSHI,1.19539,1.3867,46380.54651423386,7422.734298963589,778
2024-02-22 21:00:00,LTC,69.25015,69.285,77888.09882256742,39.19703053301431,780
2024-02-22 22:00:00,LTC,69.285,69.092,101248.54027622554,-282.03750123852654,781
2024-02-22 22:00:00,BCH,265.5375,261.535,97892.1637010164,-1475.5482190399393,781
2024-02-23 04:00:00,LTC,69.092,68.427,68157.99236352181,-656.0103184412301,787
2024-02-23 05:00:00,MKR,2031.1,2005.7245,103882.56609786674,-1297.854392209347,788
2024-02-23 07:00:00,BCH,261.535,261.26,73558.72064337187,-77.34585495987065,790
2024-02-23 07:00:00,SHIB,9.67e-06,9.495e-06,22671.921425875935,-410.29847461513015,672
2024-02-23 12:00:00,ETH,2943.11,2927.749,68159.82092755788,-355.74715497152306,795
2024-02-23 12:00:00,XRP,0.5495,0.5346,109235.95371256296,-2961.994013316089,795
2024-02-23 12:00:00,SHIB,9.495e-06,9.515e-06,46634.893321006406,98.2304230036987,677
2024-02-23 14:00:00,XRP,0.5346,0.537,132374.23114004647,594.2726426040416,797
2024-02-23 14:00:00,CRV,0.5548325,0.585515,63428.28063650249,3507.6139566977267,797
2024-02-23 14:00:00,SUSHI,1.3867,1.5482,26740.00116836773,3114.2353708021833,797
2024-02-23 15:00:00,CRV,0.585515,0.58798,263.50657577582086,1.1093545157466205,797
2024-02-23 15:00:00,YFI,7763.045,7548.8685,86082.30018738678,-2374.945110595634,798
2024-02-23 17:00:00,ETH,2927.749,2945.4585,99128.29802687616,599.611713267429,800
2024-02-23 18:00:00,BCH,261.26,265.25,95800.24893250247,1463.0750717319365,801
2024-02-23 18:00:00,SUSHI,1.5482,1.433395,0.03501471291496456,-0.0025964759825620127,797
2024-02-23 19:00:00,LTC,68.427,68.7305,92518.19192743085,410.35367983362164,802
2024-02-23 23:00:00,XRP,0.537,0.5354,156004.5938784311,-464.8181568072568,806
2024-02-24 06:00:00,LTC,68.7305,69.25335,66597.2781772692,506.62205127250064,813
2024-02-24 06:00:00,SHIB,9.515e-06,9.5e-06,21621.069591394255,-34.08471296593719,677
2024-02-24 06:00:00,YFI,7548.8685,8216.2935,63523.96341166935,5616.402150869819,813
2024-02-24 09:00:00,SHIB,9.5e-06,9.56e-06,46605.935370694824,294.35327602543816,680
2024-02-24 10:00:00,MKR,2005.7245,2068.929,81227.88220890725,2559.657460968783,817
2024-02-24 11:00:00,XRP,0.5354,0.5463,131247.644708285,2672.0196625332633,818
2024-02-24 11:00:00,LTC,69.25335,69.83235,90565.52231556286,757.1826838804419,818
2024-02-24 11:00:00,YFI,8216.2935,9330.61,34358.68259611893,4659.819775805014,818
2024-02-24 17:00:00,BCH,265.25,268.155,72768.07974983937,796.9510713413059,824
2024-02-24 18:00:00,ETH,2945.4585,2981.65,121966.15373557918,1498.6251046895422,825
2024-02-24 21:00:00,DOT,7.7015,7.87371,71815.31650204484,1605.8320658075859,828
2024-02-24 22:00:00,SHIB,9.56e-06,9.64e-06,20442.126006493232,171.06381595391662,680
2024-02-25 01:00:00,YFI,9330.61,8328.3625,157.89590775800386,-16.960389386191274,818
2024-02-25 09:00:00,MKR,2068.929,2024.9275,55893.13651966146,-1188.7222067890623,840
2024-02-25 14:00:00,ETH,2981.65,3067.165,101389.85720458157,2907.904562524032,845
2024-02-25 14:00:00,SHIB,9.64e-06,9.645e-06,45721.09064378111,23.714258632670344,696
2024-02-25 16:00:00,BCH,268.155,266.548,97015.5043989525,-581.3947738028895,847
2024-02-25 20:00:00,SHIB,9.645e-06,9.7e-06,71448.64153081732,407.4313410259176,702
2024-02-25 20:00:00,YFI,8328.3625,8343.594,23526.360389010788,43.026676404300936,837
2024-02-26,MKR,2024.9275,2068.8185,79460.28511416788,1722.329008789663,855
2024-02-26 02:00:00,BCH,266.548,265.5,72885.14386158575,-286.56613730713417,857
2024-02-26 07:00:00,CRV,0.58798,0.5805915,30617.767940507034,-384.73992045381385,861
2024-02-26 09:00:00,XRP,0.5463,0.5334,158310.92065471105,-3738.2589720772035,864
2024-02-26 10:00:00,BAT,0.255102,0.260195,63885.38778276578,1275.4438615833158,865
2024-02-26 14:00:00,LTC,69.83235,70.6945,116394.62019494158,1437.007659073035,869
2024-02-26 16:00:00,XRP,0.5334,0.5448,136704.12149144217,2921.6853862062917,871
2024-02-26 16:00:00,SHIB,9.7e-06,9.78e-06,46827.33396184179,386.20481618013474,722
2024-02-26 17:00:00,MKR,2068.8185,2092.7305,56966.60023698568,658.4363707434057,872
